,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
47,Assumption College,1,1938.0,Moderately difficult,81.0,3.34,575.0,586.0,58244.0,,,42316.0,,,13128.0,77.0,30799.0,
48,Athens State University,0,2969.0,Noncompetitive,,Not reported,,,,,,,6810.0,12870.0,,,,
49,Auburn University,0,24628.0,Moderately difficult,75.0,3.89,615.0,616.0,,31590.0,50838.0,,11276.0,30524.0,13332.0,52.0,12224.0,29331.0
50,Auburn University at Montgomery,0,4632.0,Moderately difficult,93.0,3.35,525.0,536.0,,20725.0,30397.0,,8620.0,18292.0,7090.0,58.0,8975.0,28464.0
51,Augsburg College,1,2427.0,Moderately difficult,45.0,3.17,,,53030.0,,,38800.0,,,10280.0,80.0,33295.0,40097.0
52,Augustana College,1,2647.0,Moderately difficult,59.0,3.29,,,53907.0,,,42135.0,,,10572.0,87.0,32193.0,34964.0
53,Augustana University,1,1749.0,Moderately difficult,68.0,3.74,600.0,580.0,46684.0,,,33018.0,,,8248.0,89.0,28346.0,38588.0
54,Aurora University,1,4020.0,Moderately difficult,81.0,3.39,525.0,534.0,40632.0,,,25060.0,,,11700.0,82.0,24464.0,28373.0
55,Austin College,1,1288.0,Very difficult,55.0,3.64,610.0,622.0,56582.0,,,41180.0,,,12752.0,87.0,35267.0,
56,Austin Peay State University,0,9871.0,Moderately difficult,94.0,3.25,520.0,551.0,,23558.0,39554.0,,8225.0,24221.0,9170.0,,11039.0,25279.0
57,Ave Maria University,1,1068.0,Moderately difficult,43.0,3.60,,,,,,,,,,83.0,20218.0,26420.0
58,Averett University,1,965.0,Moderately difficult,61.0,3.26,495.0,495.0,47858.0,,,34520.0,,,9976.0,70.0,27316.0,31127.0
59,Avila University,1,1246.0,Minimally difficult,41.0,3.24,,,30500.0,,,20500.0,,,7000.0,26.0,11847.0,16508.0
60,Azusa Pacific University,1,5671.0,Moderately difficult,60.0,3.74,560.0,545.0,48372.0,,,37506.0,,,,62.0,25168.0,24867.0
61,Babson College,1,2361.0,Very difficult,24.0,Not reported,705.0,655.0,69384.0,,,52608.0,,,16776.0,100.0,45616.0,37866.0
62,Bacone College,1,884.0,Minimally difficult,,Not reported,,,,,,,,,,,,
63,Baker University,1,1214.0,Moderately difficult,88.0,3.47,,,45530.0,,,29880.0,,,9250.0,80.0,26581.0,35161.0
64,Baldwin Wallace University,1,3136.0,Moderately difficult,74.0,3.52,560.0,579.0,50260.0,,,33530.0,,,10110.0,88.0,29705.0,33838.0
65,Ball State University,0,17004.0,Moderately difficult,62.0,3.50,570.0,589.0,,24550.0,41122.0,,9896.0,26468.0,10234.0,66.0,13625.0,28275.0
66,Baptist Bible College,1,544.0,Noncompetitive,76.0,Not reported,,,,,,,,,,,,
67,Baptist University of the Americas,1,195.0,Not reported,,,,,15610.0,,,6240.0,,,7670.0,,,
68,Barclay College,1,229.0,Minimally difficult,67.0,Not reported,425.0,506.0,32990.0,,,19640.0,,,9350.0,20.0,19548.0,19926.0
69,Bard College,1,1930.0,Moderately difficult,58.0,Not reported,,,72416.0,,,52915.0,,,15066.0,81.0,50874.0,27726.0
70,Barnard College,1,2604.0,Most difficult,15.0,4.00,695.0,704.0,74777.0,,,55032.0,,,17225.0,100.0,53491.0,20829.0
71,Barry University,1,3505.0,Moderately difficult,85.0,Not reported,510.0,425.0,46700.0,,,29700.0,,,11100.0,68.0,27070.0,41293.0
72,Barton College,1,976.0,Minimally difficult,40.0,3.17,500.0,522.0,47750.0,,,31730.0,,,10420.0,67.0,24845.0,25529.0
73,Bastyr University,1,287.0,Not reported,,,,,,,,26091.0,,,,0.0,,
74,Bates College,1,1787.0,Very difficult,22.0,Not reported,675.0,685.0,71168.0,,,53794.0,,,15224.0,100.0,47792.0,21525.0
75,Baylor University,1,14188.0,Moderately difficult,52.0,Not reported,640.0,636.0,64880.0,,,47364.0,,,12992.0,68.0,32262.0,50172.0
76,Beacon College,1,348.0,Moderately difficult,53.0,2.94,,,57506.0,,,39016.0,,,11390.0,,17239.0,27000.0
77,Becker College,1,1882.0,Moderately difficult,69.0,3.08,530.0,542.0,57435.0,,,39200.0,,,13800.0,60.0,24257.0,
78,Belhaven University,1,2482.0,Moderately difficult,59.0,3.40,551.5,573.0,35800.0,,,25300.0,,,8500.0,68.0,18292.0,8654.0
79,Bellarmine University,1,2552.0,Moderately difficult,86.0,3.56,575.0,590.0,59320.0,,,42430.0,,,9420.0,82.0,38254.0,29095.0
80,Bellevue University,1,6828.0,Noncompetitive,,Not reported,,,,,,9390.0,,,,,2190.0,
81,Bellin College,1,362.0,Moderately difficult,,3.60,,,,,,,,,,,,33961.0
82,Belmont Abbey College,1,1524.0,Moderately difficult,,Not reported,,,28594.0,,,18500.0,,,10094.0,55.0,13110.0,25610.0
83,Belmont University,1,6497.0,Moderately difficult,81.0,3.70,595.0,630.0,52760.0,,,34310.0,,,12120.0,63.0,22543.0,30465.0
84,Beloit College,1,1275.0,Moderately difficult,56.0,3.31,620.0,620.0,61784.0,,,50040.0,,,8830.0,95.0,48877.0,31675.0
85,Bemidji State University,0,4833.0,Moderately difficult,66.0,3.20,,,17104.0,,,8696.0,,,8408.0,58.0,8433.0,
86,Benedict College,1,2641.0,Minimally difficult,,Not reported,,,36830.0,,,19958.0,,,8672.0,,,
87,Benedictine College,1,2071.0,Minimally difficult,97.0,3.50,570.0,,46700.0,,,29530.0,,,10000.0,78.0,24665.0,29196.0
88,Benedictine University,1,2718.0,Moderately difficult,65.0,3.40,540.0,545.0,,,,35880.0,,,,,27499.0,33295.0
89,Bennett College,1,534.0,Minimally difficult,96.0,Not reported,430.0,465.0,32817.0,,,18513.0,,,8114.0,45.0,12746.0,
90,Bennington College,1,775.0,Very difficult,57.0,Not reported,,,74470.0,,,53860.0,,,15610.0,90.0,48554.0,27965.0
91,Bentley University,1,4253.0,Very difficult,43.0,Not reported,685.0,641.0,71320.0,,,51830.0,,,16960.0,95.0,37997.0,30997.0
92,Berea College,1,1673.0,Moderately difficult,38.0,3.54,566.5,553.0,,,,,,,6966.0,98.0,34670.0,7468.0
93,Berklee College of Music,1,5112.0,Moderately difficult,26.0,3.00,,,65144.0,,,44140.0,,,18360.0,44.0,22497.0,43444.0
94,Berry College,1,1978.0,Moderately difficult,62.0,3.74,595.0,618.0,52550.0,,,36556.0,,,12770.0,85.0,31556.0,26858.0
95,Bethany Lutheran College,1,739.0,Moderately difficult,78.0,3.39,570.0,550.0,39150.0,,,28080.0,,,8090.0,85.0,23401.0,36911.0
96,Bethune-Cookman University,1,3992.0,Minimally difficult,54.0,2.92,425.0,435.0,30376.0,,,14814.0,,,9412.0,55.0,15382.0,38728.0
97,Beulah Heights University,1,349.0,Noncompetitive,100.0,3.00,,,17800.0,,,11050.0,,,,75.0,4625.0,40000.0
98,Biola University,1,4091.0,Moderately difficult,69.0,3.32,580.0,600.5,51800.0,,,40488.0,,,11312.0,58.0,25563.0,34687.0
99,Birmingham-Southern College,1,1231.0,Moderately difficult,65.0,3.48,,,34280.0,,,17650.0,,,12300.0,74.0,31671.0,28007.0
100,Black Hills State University,0,3947.0,Minimally difficult,87.0,3.14,,,,21211.0,24256.0,,8733.0,11778.0,6978.0,,,
101,Blackburn College,1,566.0,Moderately difficult,54.0,3.35,515.0,528.0,33260.0,,,23510.0,,,8100.0,90.0,19499.0,30677.0
102,Bloomfield College,1,1947.0,Moderately difficult,62.0,2.69,,,41900.0,,,29950.0,,,11950.0,69.0,28719.0,
103,Bloomsburg University of Pennsylvania,0,8606.0,Minimally difficult,73.0,3.28,525.0,534.0,,25052.0,36626.0,,10958.0,22532.0,9686.0,49.0,8332.0,36908.0
104,Blue Mountain College,1,588.0,Moderately difficult,100.0,3.39,546.5,528.0,23351.0,,,12584.0,,,6470.0,67.0,11593.0,19084.0
105,Bluefield College,1,951.0,Minimally difficult,91.0,3.11,485.0,501.0,38054.0,,,25290.0,,,9024.0,68.0,17762.0,27855.0
106,Bluefield State College,0,1362.0,Noncompetitive,83.0,3.34,,,,,,,7056.0,13536.0,,65.0,3300.0,29000.0
107,Bluffton University,1,748.0,Moderately difficult,49.0,3.30,,,47566.0,,,32766.0,,,10800.0,74.0,26786.0,36796.0
