,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
55,"Aquinas College, Tennessee",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
56,Arcadia University,1.0,30574,Most difficult,17,3.91,715.0,700.0,57380,,,43580,,,13800,86,30745,Not reported
57,Argosy University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
58,Arizona Christian University,1.0,30574,Most difficult,17,3.91,715.0,700.0,40550,,,25476,,,10674,31,9665,Not reported
59,Arizona State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,28048.0,45562.0,,10822.0,28336.0,12648,70,16638,23237
60,Arkansas Baptist College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,Not reported,Not reported,Not reported
61,Arkansas State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,17240.0,23540.0,,8478.0,14778.0,8762,62,10000,27400
62,Arkansas Tech University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,20599.0,27379.0,,9068.0,15848.0,7870,59,9720,23417
63,Arlington Baptist University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
64,Art Academy of Cincinnati,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,60,12000,25030
65,ArtCenter College of Design,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
66,Asbury University,1.0,30574,Most difficult,17,3.91,715.0,700.0,41568,,,30198,,,7160,78,24940,29000
67,Ashland University,1.0,30574,Most difficult,17,3.91,715.0,700.0,32276,,,21342,,,9942,Not reported,17592,36779
68,Assumption College,1.0,30574,Most difficult,17,3.91,715.0,700.0,58244,,,42316,,,13128,77,30799,Not reported
69,Athens State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,,6810.0,12870.0,Not reported,Not reported,Not reported,Not reported
70,Atlanta Metropolitan State College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
71,Auburn University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,31590.0,50838.0,,11276.0,30524.0,13332,52,12224,29331
72,Auburn University at Montgomery,0.0,30574,Most difficult,17,3.91,715.0,700.0,,20725.0,30397.0,,8620.0,18292.0,7090,58,8975,28464
73,Augsburg College,1.0,30574,Most difficult,17,3.91,715.0,700.0,53030,,,38800,,,10280,80,33295,40097
74,Augusta University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
75,Augustana College,1.0,30574,Most difficult,17,3.91,715.0,700.0,53907,,,42135,,,10572,87,32193,34964
76,Augustana University,1.0,30574,Most difficult,17,3.91,715.0,700.0,46684,,,33018,,,8248,89,28346,38588
77,Aurora University,1.0,30574,Most difficult,17,3.91,715.0,700.0,40632,,,25060,,,11700,82,24464,28373
78,Austin College,1.0,30574,Most difficult,17,3.91,715.0,700.0,56582,,,41180,,,12752,87,35267,Not reported
79,Austin Peay State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,23558.0,39554.0,,8225.0,24221.0,9170,Not reported,11039,25279
80,Ave Maria University,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,83,20218,26420
81,Averett University,1.0,30574,Most difficult,17,3.91,715.0,700.0,47858,,,34520,,,9976,70,27316,31127
82,Avila University,1.0,30574,Most difficult,17,3.91,715.0,700.0,30500,,,20500,,,7000,26,11847,16508
83,Azusa Pacific University,1.0,30574,Most difficult,17,3.91,715.0,700.0,48372,,,37506,,,Not reported,62,25168,24867
84,Babson College,1.0,30574,Most difficult,17,3.91,715.0,700.0,69384,,,52608,,,16776,100,45616,37866
85,Bacone College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,Not reported,Not reported,Not reported
86,Baker College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
87,Baker University,1.0,30574,Most difficult,17,3.91,715.0,700.0,45530,,,29880,,,9250,80,26581,35161
88,Baldwin Wallace University,1.0,30574,Most difficult,17,3.91,715.0,700.0,50260,,,33530,,,10110,88,29705,33838
89,Ball State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,24550.0,41122.0,,9896.0,26468.0,10234,66,13625,28275
90,Bank Street College of Education,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
91,Baptist Bible College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,Not reported,Not reported,Not reported
92,Baptist Memorial College of Health Sciences,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
93,Baptist University of the Americas,1.0,30574,Most difficult,17,3.91,715.0,700.0,15610,,,6240,,,7670,Not reported,Not reported,Not reported
94,Barclay College,1.0,30574,Most difficult,17,3.91,715.0,700.0,32990,,,19640,,,9350,20,19548,19926
95,Bard College,1.0,30574,Most difficult,17,3.91,715.0,700.0,72416,,,52915,,,15066,81,50874,27726
96,Bard College at Simon's Rock,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
97,Barnard College,1.0,30574,Most difficult,17,3.91,715.0,700.0,74777,,,55032,,,17225,100,53491,20829
98,Barnes-Jewish College Goldfarb School of Nursing,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
99,Barry University,1.0,30574,Most difficult,17,3.91,715.0,700.0,46700,,,29700,,,11100,68,27070,41293
100,Barton College,1.0,30574,Most difficult,17,3.91,715.0,700.0,47750,,,31730,,,10420,67,24845,25529
101,"Baruch College, CUNY",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
102,Bastyr University,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,26091,,,Not reported,0,Not reported,Not reported
103,Bates College,1.0,30574,Most difficult,17,3.91,715.0,700.0,71168,,,53794,,,15224,100,47792,21525
104,Bay Path University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
105,Bay State College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
106,Baylor College of Medicine,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
107,Baylor University,1.0,30574,Most difficult,17,3.91,715.0,700.0,64880,,,47364,,,12992,68,32262,50172
108,Beacon College,1.0,30574,Most difficult,17,3.91,715.0,700.0,57506,,,39016,,,11390,Not reported,17239,27000
109,Becker College,1.0,30574,Most difficult,17,3.91,715.0,700.0,57435,,,39200,,,13800,60,24257,Not reported
110,Belhaven University,1.0,30574,Most difficult,17,3.91,715.0,700.0,35800,,,25300,,,8500,68,18292,8654
111,Bellarmine University,1.0,30574,Most difficult,17,3.91,715.0,700.0,59320,,,42430,,,9420,82,38254,29095
112,Bellevue College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
113,Bellevue University,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,9390,,,Not reported,Not reported,2190,Not reported
114,Bellin College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,Not reported,Not reported,33961
115,Belmont Abbey College,1.0,30574,Most difficult,17,3.91,715.0,700.0,28594,,,18500,,,10094,55,13110,25610
116,Belmont University,1.0,30574,Most difficult,17,3.91,715.0,700.0,52760,,,34310,,,12120,63,22543,30465
117,Beloit College,1.0,30574,Most difficult,17,3.91,715.0,700.0,61784,,,50040,,,8830,95,48877,31675
118,Bemidji State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,17104,,,8696,,,8408,58,8433,Not reported
119,Benedict College,1.0,30574,Most difficult,17,3.91,715.0,700.0,36830,,,19958,,,8672,Not reported,Not reported,Not reported
120,Benedictine College,1.0,30574,Most difficult,17,3.91,715.0,700.0,46700,,,29530,,,10000,78,24665,29196
121,Benedictine University,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,35880,,,Not reported,Not reported,27499,33295
122,Benjamin Franklin Institute of Technology,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
123,Bennett College,1.0,30574,Most difficult,17,3.91,715.0,700.0,32817,,,18513,,,8114,45,12746,Not reported
124,Bennington College,1.0,30574,Most difficult,17,3.91,715.0,700.0,74470,,,53860,,,15610,90,48554,27965
125,Bentley University,1.0,30574,Most difficult,17,3.91,715.0,700.0,71320,,,51830,,,16960,95,37997,30997
126,Berea College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available ch,,,Not reported,,,6966,98,34670,7468
127,Berkeley College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
128,Berklee College of Music,1.0,30574,Most difficult,17,3.91,715.0,700.0,65144,,,44140,,,18360,44,22497,43444
129,Berry College,1.0,30574,Most difficult,17,3.91,715.0,700.0,52550,,,36556,,,12770,85,31556,26858
130,Bethany College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
131,"Bethany College, Kansas",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
132,Bethany Lutheran College,1.0,30574,Most difficult,17,3.91,715.0,700.0,39150,,,28080,,,8090,85,23401,36911
133,Bethel College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
134,Bethel College-Indiana,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
135,Bethel University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
136,"Bethel University, Tennessee",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
137,Bethesda University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
138,Bethune-Cookman University,1.0,30574,Most difficult,17,3.91,715.0,700.0,30376,,,14814,,,9412,55,15382,38728
139,Beulah Heights University,1.0,30574,Most difficult,17,3.91,715.0,700.0,17800,,,11050,,,Not reported,75,4625,40000
140,"Binghamton University, State University of New York",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
141,Biola University,1.0,30574,Most difficult,17,3.91,715.0,700.0,51800,,,40488,,,11312,58,25563,34687
142,Birmingham-Southern College,1.0,30574,Most difficult,17,3.91,715.0,700.0,34280,,,17650,,,12300,74,31671,28007
143,Bismarck State College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
144,Black Hills State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,21211.0,24256.0,,8733.0,11778.0,6978,Not reported,Not reported,Not reported
145,Blackburn College,1.0,30574,Most difficult,17,3.91,715.0,700.0,33260,,,23510,,,8100,90,19499,30677
146,Blessing-Rieman College of Nursing,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
147,Bloomfield College,1.0,30574,Most difficult,17,3.91,715.0,700.0,41900,,,29950,,,11950,69,28719,Not reported
148,Bloomsburg University of Pennsylvania,0.0,30574,Most difficult,17,3.91,715.0,700.0,,25052.0,36626.0,,10958.0,22532.0,9686,49,8332,36908
149,Blue Mountain College,1.0,30574,Most difficult,17,3.91,715.0,700.0,23351,,,12584,,,6470,67,11593,19084
150,Bluefield College,1.0,30574,Most difficult,17,3.91,715.0,700.0,38054,,,25290,,,9024,68,17762,27855
151,Bluefield State College,0.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,,7056.0,13536.0,Not reported,65,3300,29000
152,Bluffton University,1.0,30574,Most difficult,17,3.91,715.0,700.0,47566,,,32766,,,10800,74,26786,36796
153,Bob Jones University,1.0,30574,Most difficult,17,3.91,715.0,700.0,29126,,,18150,,,6976,66,13519,21153
154,Boise Bible College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,54,5470,8648
155,Boise State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,21378.0,37460.0,,7694.0,23776.0,8994,60,10963,27870
156,Boricua College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,67,4987,Not reported
157,Boston Architectural College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,21894,,,Not reported,51,14481,Not reported
158,Boston College,1.0,30574,Most difficult,17,3.91,715.0,700.0,69293,,,53346,,,14142,100,45393,20915
159,Boston Graduate School of Psychoanalysis,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
160,Boston University,1.0,30574,Most difficult,17,3.91,715.0,700.0,75002,,,55892,,,16160,91,48893,42976
161,Bowdoin College,1.0,30574,Most difficult,17,3.91,715.0,700.0,70710,,,53922,,,14698,100,50611,25482
162,Bowie State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,23014.0,33654.0,,8234.0,18874.0,10904,45,93989,29433
163,Bowling Green State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,24913.0,32901.0,,11105.0,19093.0,9168,79,14441,29958
164,Bradley University,1.0,30574,Most difficult,17,3.91,715.0,700.0,48020,,,33760,,,10620,73,25327,29233
165,Brandeis University,1.0,30574,Most difficult,17,3.91,715.0,700.0,76141,,,57561,,,16080,94,42102,29785
166,Brandman University,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,15380,,,Not reported,Not reported,Not reported,Not reported
167,Brazosport College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
168,Brenau University,1.0,30574,Most difficult,17,3.91,715.0,700.0,47340,,,30790,,,12500,63,24066,35719
169,Brescia University,1.0,30574,Most difficult,17,3.91,715.0,700.0,38150,,,22100,,,9350,Not reported,23315,19060
170,Brevard College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,61,20009,28511
171,Brewton-Parker College,1.0,30574,Most difficult,17,3.91,715.0,700.0,32259,,,18240,,,8380,73,11647,28231
172,Briar Cliff University,1.0,30574,Most difficult,17,3.91,715.0,700.0,43426,,,29786,,,9086,30,33359,29484
173,Bridgewater College,1.0,30574,Most difficult,17,3.91,715.0,700.0,53000,,,36600,,,12970,88,35504,33744
174,Bridgewater State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,26561.0,32701.0,,10367.0,16507.0,12750,Not reported,8677,31349
175,Brigham Young University,1.0,30574,Most difficult,17,3.91,715.0,700.0,18776,,,5620,,,7628,30,6888,15701
176,Brigham Young University-Hawaii,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,75,4200,12418
177,Brigham Young University-Idaho,1.0,30574,Most difficult,17,3.91,715.0,700.0,5321,,,2023,,,2296,Not reported,Not reported,Not reported
178,Brooklyn College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
179,Brooklyn Law School,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
180,Broward College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
181,Brown Mackie College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
182,Brown University,1.0,30574,Most difficult,17,3.91,715.0,700.0,73892,,,55556,,,14670,100,50237,29620
183,Bryan College,1.0,30574,Most difficult,17,3.91,715.0,700.0,34300,,,26800,,,7500,0,25023,24610
184,Bryan College of Health Sciences,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,18420,,,Not reported,Not reported,Not reported,Not reported
185,Bryant and Stratton College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
186,Bryant University,1.0,30574,Most difficult,17,3.91,715.0,700.0,64361,,,45395,,,16016,48,25611,54067
187,Bryn Athyn College,1.0,30574,Most difficult,17,3.91,715.0,700.0,37296,,,22860,,,11886,100,10547,0
188,Bryn Mawr College,1.0,30574,Most difficult,17,3.91,715.0,700.0,71310,,,52360,,,16500,100,50552,25682
189,Bucknell University,1.0,30574,Most difficult,17,3.91,715.0,700.0,75800,,,58196,,,14174,92,37500,31087
190,Buena Vista University,1.0,30574,Most difficult,17,3.91,715.0,700.0,45066,,,35194,,,9872,87,32806,38938
